,airline,date_of_journey,source,destination,duration,total_stops,price,journey_month,journey_day,journey_day_name,dep_hour,dep_range
0,IndiGo,2019-03-24,Banglore,New Delhi,122,0,3897,3,24,2_Sunday,22,4_Evening
1,Air India,2019-05-01,Kolkata,Banglore,427,2,7662,5,1,5_Wednesday,5,1_Early Morning
2,Jet Airways,2019-06-09,Delhi,Cochin,19,2,13882,6,9,2_Sunday,9,2_Morning
3,IndiGo,2019-05-12,Kolkata,Banglore,305,1,6218,5,12,2_Sunday,18,4_Evening
4,IndiGo,2019-03-01,Banglore,New Delhi,244,1,13302,3,1,7_Friday,16,3_Afternoon
5,SpiceJet,2019-06-24,Kolkata,Banglore,122,0,3873,6,24,3_Monday,9,2_Morning
6,Jet Airways,2019-03-12,Banglore,New Delhi,915,1,11087,3,12,4_Tuesday,18,4_Evening
7,Jet Airways,2019-03-01,Banglore,New Delhi,1281,1,22270,3,1,7_Friday,8,2_Morning
8,Jet Airways,2019-03-12,Banglore,New Delhi,1525,1,11087,3,12,4_Tuesday,8,2_Morning
9,Multiple carriers,2019-05-27,Delhi,Cochin,427,1,8625,5,27,3_Monday,11,2_Morning
10,Air India,2019-06-01,Delhi,Cochin,793,1,8907,6,1,1_Saturday,9,2_Morning
11,IndiGo,2019-04-18,Kolkata,Banglore,122,0,4174,4,18,6_Thursday,20,4_Evening
12,Air India,2019-06-24,Chennai,Kolkata,122,0,4667,6,24,3_Monday,11,2_Morning
13,Jet Airways,2019-05-09,Kolkata,Banglore,732,1,9663,5,9,6_Thursday,21,4_Evening
14,IndiGo,2019-04-24,Kolkata,Banglore,122,0,4804,4,24,5_Wednesday,17,3_Afternoon
15,Air India,2019-03-03,Delhi,Cochin,1586,2,14011,3,3,2_Sunday,16,3_Afternoon
16,SpiceJet,2019-04-15,Delhi,Cochin,244,1,5830,4,15,3_Monday,8,2_Morning
17,Jet Airways,2019-06-12,Delhi,Cochin,1342,1,10262,6,12,5_Wednesday,14,3_Afternoon
18,Air India,2019-06-12,Delhi,Cochin,23,2,13381,6,12,5_Wednesday,20,4_Evening
19,Jet Airways,2019-05-27,Delhi,Cochin,1220,1,12898,5,27,3_Monday,16,3_Afternoon
20,GoAir,2019-03-06,Delhi,Cochin,305,1,19495,3,6,5_Wednesday,14,3_Afternoon
21,Air India,2019-03-21,Banglore,New Delhi,915,1,6955,3,21,6_Thursday,22,4_Evening
22,IndiGo,2019-04-03,Banglore,Delhi,122,0,3943,4,3,5_Wednesday,4,1_Early Morning
23,IndiGo,2019-05-01,Banglore,Delhi,122,0,4823,5,1,5_Wednesday,18,4_Evening
24,Jet Airways,2019-05-06,Kolkata,Banglore,793,1,7757,5,6,3_Monday,18,4_Evening
25,Jet Airways,2019-06-09,Delhi,Cochin,915,2,13292,6,9,2_Sunday,21,4_Evening
26,IndiGo,2019-06-01,Delhi,Cochin,305,1,8238,6,1,1_Saturday,21,4_Evening
27,GoAir,2019-05-15,Delhi,Cochin,305,1,7682,5,15,5_Wednesday,7,2_Morning
28,Vistara,2019-06-18,Banglore,Delhi,122,0,4668,6,18,4_Tuesday,9,2_Morning
29,Vistara,2019-06-15,Chennai,Kolkata,122,0,3687,6,15,1_Saturday,7,2_Morning
30,Vistara,2019-06-18,Chennai,Kolkata,122,0,3687,6,18,4_Tuesday,7,2_Morning
31,Air India,2019-05-01,Kolkata,Banglore,793,2,13227,5,1,5_Wednesday,9,2_Morning
32,IndiGo,2019-04-06,Banglore,Delhi,122,0,4423,4,6,1_Saturday,4,1_Early Morning
33,Jet Airways,2019-06-15,Delhi,Cochin,22,2,10919,6,15,1_Saturday,14,3_Afternoon
34,Jet Airways,2019-05-18,Delhi,Cochin,305,1,12373,5,18,1_Saturday,7,2_Morning
35,IndiGo,2019-06-27,Delhi,Cochin,610,1,5894,6,27,6_Thursday,10,2_Morning
36,SpiceJet,2019-05-21,Kolkata,Banglore,305,1,4649,5,21,4_Tuesday,15,3_Afternoon
37,Air India,2019-05-18,Kolkata,Banglore,122,0,6245,5,18,1_Saturday,14,3_Afternoon
38,Jet Airways,2019-03-06,Banglore,New Delhi,366,1,19225,3,6,5_Wednesday,7,2_Morning
39,Jet Airways,2019-06-03,Delhi,Cochin,671,1,14924,6,3,3_Monday,7,2_Morning
40,Multiple carriers,2019-05-21,Delhi,Cochin,671,1,9646,5,21,4_Tuesday,7,2_Morning
41,Air India,2019-03-15,Banglore,New Delhi,488,1,8714,3,15,7_Friday,6,2_Morning
42,Jet Airways,2019-05-18,Delhi,Cochin,1342,1,12373,5,18,1_Saturday,20,4_Evening
43,Air Asia,2019-05-06,Banglore,Delhi,122,0,3383,5,6,3_Monday,11,2_Morning
44,Multiple carriers,2019-03-21,Delhi,Cochin,12,1,13062,3,21,6_Thursday,9,2_Morning
45,SpiceJet,2019-03-24,Banglore,New Delhi,122,0,3527,3,24,2_Sunday,5,1_Early Morning
46,IndiGo,2019-05-27,Banglore,Delhi,122,0,3943,5,27,3_Monday,4,1_Early Morning
47,Air India,2019-05-03,Chennai,Kolkata,122,0,4667,5,3,7_Friday,11,2_Morning
48,Air India,2019-05-15,Kolkata,Banglore,976,1,6117,5,15,5_Wednesday,19,4_Evening
49,Jet Airways,2019-06-27,Delhi,Cochin,1159,2,11150,6,27,6_Thursday,23,4_Evening
50,Jet Airways,2019-03-09,Delhi,Cochin,183,0,7202,3,9,1_Saturday,11,2_Morning
51,Jet Airways,2019-05-01,Kolkata,Banglore,1525,1,12121,5,1,5_Wednesday,9,2_Morning
52,IndiGo,2019-03-24,Banglore,New Delhi,122,0,4377,3,24,2_Sunday,22,4_Evening
53,IndiGo,2019-06-18,Banglore,Delhi,3,0,3943,6,18,4_Tuesday,21,4_Evening
54,Air Asia,2019-04-03,Banglore,Delhi,122,0,4483,4,3,5_Wednesday,23,4_Evening
55,Jet Airways,2019-03-24,Kolkata,Banglore,976,1,14231,3,24,2_Sunday,19,4_Evening
56,Air India,2019-03-01,Banglore,New Delhi,915,2,17345,3,1,7_Friday,8,2_Morning
57,Vistara,2019-03-06,Chennai,Kolkata,122,0,7414,3,6,5_Wednesday,7,2_Morning
58,Multiple carriers,2019-05-06,Delhi,Cochin,366,1,8073,5,6,3_Monday,19,4_Evening
59,Vistara,2019-03-06,Mumbai,Hyderabad,1525,1,12395,3,6,5_Wednesday,15,3_Afternoon
60,Air India,2019-06-06,Kolkata,Banglore,732,1,8366,6,6,6_Thursday,9,2_Morning
61,Air India,2019-04-03,Delhi,Cochin,1647,1,5117,4,3,5_Wednesday,6,2_Morning
62,Multiple carriers,2019-06-03,Delhi,Cochin,610,1,12524,6,3,3_Monday,8,2_Morning
63,IndiGo,2019-05-15,Delhi,Cochin,610,1,7191,5,15,5_Wednesday,15,3_Afternoon
64,Vistara,2019-05-24,Chennai,Kolkata,122,0,3687,5,24,7_Friday,7,2_Morning
65,IndiGo,2019-06-24,Delhi,Cochin,610,1,5894,6,24,3_Monday,10,2_Morning
66,Vistara,2019-04-24,Banglore,Delhi,122,0,5403,4,24,5_Wednesday,9,2_Morning
67,Air India,2019-05-06,Mumbai,Hyderabad,61,0,3625,5,6,3_Monday,13,3_Afternoon
68,Air India,2019-05-21,Delhi,Cochin,793,2,10861,5,21,4_Tuesday,5,1_Early Morning
69,IndiGo,2019-03-12,Chennai,Kolkata,122,0,6297,3,12,4_Tuesday,13,3_Afternoon
70,Jet Airways,2019-06-01,Mumbai,Hyderabad,61,0,5678,6,1,1_Saturday,7,2_Morning
71,Jet Airways,2019-03-09,Banglore,New Delhi,1586,1,9134,3,9,1_Saturday,5,1_Early Morning
72,Multiple carriers,2019-06-24,Delhi,Cochin,427,1,10791,6,24,3_Monday,11,2_Morning
73,Jet Airways,2019-06-24,Delhi,Cochin,793,2,12819,6,24,3_Monday,23,4_Evening
74,IndiGo,2019-03-21,Delhi,Cochin,5,1,6893,3,21,6_Thursday,5,1_Early Morning
75,Vistara,2019-03-09,Banglore,New Delhi,122,0,7240,3,9,1_Saturday,9,2_Morning
76,GoAir,2019-04-03,Banglore,Delhi,122,0,3898,4,3,5_Wednesday,11,2_Morning
77,IndiGo,2019-04-03,Mumbai,Hyderabad,61,0,4049,4,3,5_Wednesday,6,2_Morning
78,Jet Airways,2019-06-15,Delhi,Cochin,1159,1,10262,6,15,1_Saturday,17,3_Afternoon
79,SpiceJet,2019-03-21,Chennai,Kolkata,122,0,3332,3,21,6_Thursday,8,2_Morning
80,Jet Airways,2019-06-09,Kolkata,Banglore,854,1,10844,6,9,2_Sunday,21,4_Evening
81,Jet Airways,2019-03-24,Banglore,New Delhi,122,0,7229,3,24,2_Sunday,19,4_Evening
82,Jet Airways,2019-05-06,Kolkata,Banglore,1342,1,13941,5,6,3_Monday,6,2_Morning
83,IndiGo,2019-06-27,Delhi,Cochin,549,1,5894,6,27,6_Thursday,11,2_Morning
84,Multiple carriers,2019-05-18,Delhi,Cochin,10,1,10197,5,18,1_Saturday,9,2_Morning
85,Jet Airways,2019-03-06,Banglore,New Delhi,1281,1,13712,3,6,5_Wednesday,14,3_Afternoon
86,IndiGo,2019-06-24,Delhi,Cochin,305,1,5636,6,24,3_Monday,2,1_Early Morning
87,Jet Airways,2019-06-06,Delhi,Cochin,1098,2,13014,6,6,6_Thursday,9,2_Morning
88,Jet Airways,2019-04-01,Kolkata,Banglore,732,1,7064,4,1,3_Monday,8,2_Morning
89,Jet Airways,2019-05-24,Kolkata,Banglore,18,1,10703,5,24,7_Friday,20,4_Evening
90,Multiple carriers,2019-05-27,Delhi,Cochin,549,1,9646,5,27,3_Monday,13,3_Afternoon
91,Multiple carriers,2019-03-06,Delhi,Cochin,671,1,17057,3,6,5_Wednesday,2,1_Early Morning
92,Jet Airways,2019-03-12,Banglore,New Delhi,1037,1,13817,3,12,4_Tuesday,16,3_Afternoon
93,Air India,2019-03-06,Delhi,Cochin,793,2,13748,3,6,5_Wednesday,5,1_Early Morning
94,Air India,2019-04-21,Kolkata,Banglore,122,0,4880,4,21,2_Sunday,20,4_Evening
95,IndiGo,2019-06-21,Chennai,Kolkata,122,0,3540,6,21,7_Friday,5,1_Early Morning
96,SpiceJet,2019-05-15,Banglore,Delhi,122,0,3257,5,15,5_Wednesday,5,1_Early Morning
97,Jet Airways,2019-06-03,Banglore,Delhi,3,0,6478,6,3,3_Monday,19,4_Evening
98,Jet Airways,2019-06-18,Mumbai,Hyderabad,61,0,8040,6,18,4_Tuesday,7,2_Morning
99,Jet Airways,2019-06-12,Delhi,Cochin,976,2,14300,6,12,5_Wednesday,20,4_Evening
100,Jet Airways,2019-05-15,Kolkata,Banglore,732,1,14781,5,15,5_Wednesday,8,2_Morning
101,Jet Airways,2019-06-09,Kolkata,Banglore,732,1,14939,6,9,2_Sunday,20,4_Evening
102,Jet Airways,2019-06-24,Delhi,Cochin,427,1,10262,6,24,3_Monday,20,4_Evening
103,Air India,2019-05-12,Kolkata,Banglore,24,1,6528,5,12,2_Sunday,14,3_Afternoon
104,Air India,2019-05-01,Banglore,Delhi,122,0,6121,5,1,5_Wednesday,6,2_Morning
105,Jet Airways,2019-05-18,Delhi,Cochin,488,2,13029,5,18,1_Saturday,19,4_Evening
106,Multiple carriers,2019-03-27,Delhi,Cochin,427,1,11421,3,27,5_Wednesday,11,2_Morning
107,Multiple carriers,2019-03-27,Delhi,Cochin,854,1,7574,3,27,5_Wednesday,4,1_Early Morning
108,Air India,2019-05-09,Delhi,Cochin,1830,2,11596,5,9,6_Thursday,12,3_Afternoon
109,Jet Airways,2019-05-24,Delhi,Cochin,1159,2,15129,5,24,7_Friday,23,4_Evening
110,Jet Airways,2019-03-18,Banglore,New Delhi,15,1,13555,3,18,3_Monday,14,3_Afternoon
111,IndiGo,2019-04-12,Banglore,Delhi,122,0,5780,4,12,7_Friday,18,4_Evening
112,Vistara,2019-05-12,Kolkata,Banglore,732,1,9397,5,12,2_Sunday,20,4_Evening
113,Jet Airways,2019-03-06,Delhi,Cochin,610,1,17024,3,6,5_Wednesday,18,4_Evening
114,GoAir,2019-06-27,Delhi,Cochin,305,1,5281,6,27,6_Thursday,7,2_Morning
115,Multiple carriers,2019-05-18,Delhi,Cochin,915,1,10348,5,18,1_Saturday,7,2_Morning
116,Air India,2019-03-06,Delhi,Cochin,976,1,12677,3,6,5_Wednesday,17,3_Afternoon
117,Multiple carriers,2019-03-03,Delhi,Cochin,610,1,15147,3,3,2_Sunday,15,3_Afternoon
118,Vistara,2019-06-12,Banglore,Delhi,122,0,4668,6,12,5_Wednesday,7,2_Morning
119,Jet Airways,2019-05-09,Delhi,Cochin,671,1,15554,5,9,6_Thursday,7,2_Morning
120,SpiceJet,2019-04-09,Banglore,Delhi,122,0,3971,4,9,4_Tuesday,5,1_Early Morning
121,Air India,2019-05-03,Mumbai,Hyderabad,61,0,3100,5,3,7_Friday,15,3_Afternoon
122,Jet Airways,2019-05-06,Kolkata,Banglore,854,1,9663,5,6,3_Monday,20,4_Evening
123,Air India,2019-03-01,Delhi,Cochin,1220,1,27430,3,1,7_Friday,23,4_Evening
124,IndiGo,2019-05-12,Chennai,Kolkata,122,0,3540,5,12,2_Sunday,5,1_Early Morning
125,Air India,2019-05-21,Kolkata,Banglore,1403,2,10676,5,21,4_Tuesday,12,3_Afternoon
126,Jet Airways,2019-06-12,Kolkata,Banglore,1098,1,13044,6,12,5_Wednesday,14,3_Afternoon
127,Jet Airways,2019-05-06,Kolkata,Banglore,16,1,14388,5,6,3_Monday,20,4_Evening
128,IndiGo,2019-06-24,Banglore,Delhi,122,0,3943,6,24,3_Monday,4,1_Early Morning
129,IndiGo,2019-06-03,Chennai,Kolkata,122,0,3597,6,3,3_Monday,14,3_Afternoon
130,Air India,2019-03-21,Banglore,New Delhi,8,1,5932,3,21,6_Thursday,11,2_Morning
131,Jet Airways,2019-06-15,Delhi,Cochin,976,1,10262,6,15,1_Saturday,11,2_Morning
132,Vistara,2019-05-12,Delhi,Cochin,183,0,6216,5,12,2_Sunday,14,3_Afternoon
133,IndiGo,2019-06-15,Kolkata,Banglore,122,0,4804,6,15,1_Saturday,20,4_Evening
134,Multiple carriers,2019-05-21,Delhi,Cochin,14,1,14067,5,21,4_Tuesday,11,2_Morning
